heap,bptree,hash,sequential,isam,brin,rtree
20.0019,81.1396,31.0583,91.1522,30.9985,34.0774,33.9229
19.0084,60.719,42.954,85.8734,44.2071,51.8432,47.0409
20.9799,62.0346,43.0021,90.8751,44.1687,52.0465,46.9968
18.0039,111.8362,63.1101,84.6002,44.668,52.1877,45.9607
18.9991,96.7023,42.0027,84.9996,43.4499,52.4554,46.1609
19.0222,48.2202,63.0152,86.0064,43.802,52.2721,46.8469
19.69,52.068,108.4003,80.9968,139.3404,52.738,46.9902
19.0055,39.0003,77.3163,91.9933,58.4524,51.1048,157.9192
18.9912,35.9972,23.999,77.9536,49.5803,52.5515,45.9509
18.2142,47.0009,49.0019,81.274,66.5905,55.264,47.9977
21.0056,37.1411,47.996,78.999,67.0159,52.0396,45.0006
19.2218,37.2753,37.4224,89.0024,63.8895,40.9553,45.9032
19.0022,47.0374,34.9817,94.9588,64.3568,51.9505,66.4172
19.9957,38.9674,47.6139,84.007,59.9995,41.9443,46.0417
18.9967,40.9942,37.0412,116.0984,58.2271,53.4141,45.2332
18.7588,50.0455,37.2939,99.0844,60.0536,45.3763,45.804
17.5543,41.9569,36.0255,122.4391,57.0164,44.9975,46.2706
19.9959,39.3224,50.6604,124.994,55.9926,48.0313,46.0336
17.0035,39.0382,48.0101,108.109,55.8155,43.977,47.0767
18.6849,40.9863,36.978,114.0544,57.9898,46.6516,45.1813
18.1882,42.001,35.0871,118.9513,56.3776,45.5637,48.5849
19.9955,42.017,48.3608,120.0664,57.6282,58.2416,46.0339
18.9984,41.966,35.2867,105.1629,57.0033,56.4084,46.0844
18.9912,52.8522,35.9776,109.5312,86.9882,43.9939,46.0072
17.9942,41.9476,35.5361,116.0934,81.6131,45.6574,47.0359
20.3032,53.0987,37.9994,102.2835,49.4435,56.5994,217.7525
18.0323,45.2371,52.2084,108.2184,50.559,53.2281,142.0293
18.4748,47.9932,35.9709,126.1883,50.6539,73.2744,45.2185
17.0441,47.9956,46.315,96.1163,51.1892,73.1218,43.8323
17.9515,45.3601,38.4276,104.9938,50.6613,62.0406,44.2376
18.1189,46.9992,35.5334,88.1925,85.53,59.0019,61.578
17.9942,71.0373,45.3787,96.9994,55.9986,58.9316,45.0461
17.0376,55.8953,44.9958,102.6933,49.053,58.8741,43.0009
17.931,66.7493,43.7224,89.4673,47.7474,55.732,44.9989
16.9973,63.0343,29.943,104.286,47.7128,54.9929,44.1873
16.9971,62.428,44.0333,88.5873,55.001,70.359,43.9599
16.3772,56.3979,42.9928,86.0052,62.0499,56.7544,45.3362
18.0354,61.0228,95.0053,80.363,62.6178,56.1237,45.0509
18.8291,50.9541,45.0616,73.1466,58.3675,55.9158,42.5806
16.9361,61.6696,45.7156,69.9329,58.4176,54.3697,47.998
17.2255,50.9248,31.601,78.9227,58.749,53.9944,45.8729
17.6532,50.0178,30.7624,75.217,58.5029,68.8686,46.7432
17.9582,66.0255,31.143,72.4258,59.1173,68.073,66.8302
16.9637,77.0013,43.0124,89.4592,52.8357,67.1091,44.9998
18.0879,73.6353,34.101,75.8948,73.2291,51.5885,44.3139
16.9928,73.6558,43.1397,73.3125,45.0442,52.0043,45.9194
19.0358,73.9455,32.5866,87.997,101.0036,50.9949,151.0038
16.9587,91.0039,42.9981,76.1933,108.2726,54.0814,58.7234
17.9563,85.005,43.21,86.9629,40.9746,52.5541,60.9722
17.9572,79.0632,29.995,75.0277,32.0041,50.8914,60.993
